,cluster 0,z-score 0,cluster 1,z-score 1,cluster 2,z-score 2,cluster 3,z-score 3,cluster 4,z-score 4,cluster 5,z-score 5,cluster 6,z-score 6,cluster 7,z-score 7
229,value_CENPA,-0.009294788246803463,value_YY1,-0.25589782956879126,value_H4K12ac,-0.2730398608935481,value_MXI1,-0.2620591573328313,value_MYCN,-0.16962599642496115,value_GABPA,-0.17420501635359537,value_INTS13,-0.2394836838074212,value_H4K12ac,-0.2557890218586711
230,value_SMARCA2,-0.009294788246803463,value_ELF1,-0.25747964285712144,value_BMI1,-0.2823507775762004,value_CHD8,-0.26461947634009525,value_H3K79me2,-0.17421342649869864,value_YY1,-0.17546716502434823,value_YY1,-0.24433578775480908,value_H4K16ac,-0.2612298463942387
231,value_MGMT,-0.009294788246803463,value_H4K5K8ac,-0.26008656061589275,value_CHD8,-0.2898508598500045,value_YY1,-0.2654560000696438,value_NEUROD1,-0.18553422947045461,value_MAX,-0.1877614106545257,value_MYCN,-0.2601128786704089,value_BRD4,-0.2614311379977001
232,value_POU5F1,-0.009294788246803463,value_H3K122ac,-0.26201731359248376,value_H4K16ac,-0.29238372207696595,value_H4K12ac,-0.2672399771871185,value_YY1,-0.1938635047322,value_NEUROD1,-0.18834748505011892,value_NRF1,-0.2617081889904897,value_H3K4me2,-0.2703363370441083
233,value_LHX2,-0.009294788246803463,value_BRD4,-0.26716416840024126,value_NRF1,-0.3048862817649892,value_BRD4,-0.2722430114622755,value_ELF1,-0.19905294656812034,value_INTS13,-0.18929526346691672,value_GABPA,-0.2621629596206681,value_CHD8,-0.27306183525903976
234,value_H3K27me1,-0.01042246931450797,value_H2A.Z,-0.2724544778490633,value_WDR5,-0.305211970237642,value_H3K122ac,-0.2837560299266325,value_MAX,-0.2008192605515804,value_BRD4,-0.20752691684523292,value_BRD4,-0.26738268167599877,value_GABPA,-0.27938962376458415
235,value_SOX3,-0.01046552627083768,value_H3K4me2,-0.2811547741393067,value_GABPA,-0.30574760998392864,value_H4K5ac,-0.2966171571118222,value_GABPA,-0.20886499774797704,value_EP300,-0.2159850159971327,value_CHD8,-0.269365448674092,value_NRF1,-0.28662122866686307
236,value_ACSS2,-0.010562543276289017,value_H4K12ac,-0.2830067834489302,value_MYCN,-0.3093432262196449,value_NRF1,-0.3001900405634718,value_H4K5K8ac,-0.22081992419606808,value_BRD2,-0.21676070587133323,value_H4K16ac,-0.2808494685238709,value_WDR5,-0.2930845443916159
237,value_H3K36me2,-0.012862721242222158,value_H3K9K14ac,-0.2864631238303384,value_H4K5K8ac,-0.312661827035906,value_GABPA,-0.30109062079208787,value_BRD2,-0.22500346967641005,value_WDR5,-0.22067314684387923,value_H4K5K8ac,-0.28731042662415385,value_MYCN,-0.29425677329185346
238,value_H3R8me2,-0.01306275269131857,value_WDR5,-0.29015429421082223,value_TAF1,-0.3275562365924352,value_WDR5,-0.30356142699015665,value_H4K8ac,-0.23034501478005365,value_H4K8ac,-0.2277825055631083,value_WDR5,-0.29011293064662635,value_TAF1,-0.30185637577869484
