,cluster 0,z-score 0,cluster 1,z-score 1,cluster 2,z-score 2,cluster 3,z-score 3,cluster 4,z-score 4,cluster 5,z-score 5,cluster 6,z-score 6,cluster 7,z-score 7
172,value_KLF4,0.051925803702187835,value_FOSL2,-0.08231212660784935,value_CRTC1,-0.08627940562317084,value_ZNF143,-0.09377504329641892,value_LIN28B,-0.04285047931057789,value_BNC2,-0.04827063469255081,value_THAP1,-0.06925959470345472,value_ZNF143,-0.08500934190728353
173,value_H3K18la,0.05017557185188439,value_MEF2C,-0.08276614871802185,value_YAP1,-0.08786534179209132,value_NFIC,-0.09439040338404026,value_PATZ1,-0.04393169002416617,value_OLIG2,-0.04983965708225537,value_TOP2B,-0.0699588109799264,value_CRTC1,-0.08888611849242353
174,value_ALKBH1,0.0499809948684236,value_CHD7,-0.08850449786465282,value_ZNF143,-0.08896823360063598,value_Crotonyllysine,-0.09537215140298187,value_DNA-RNA_hybrid,-0.045935455860910974,value_CTBP2,-0.05037645635229303,value_GATA2,-0.07107973225565524,value_YAP1,-0.0901480999066875
175,value_TOP1,0.04760930349905429,value_YAP1,-0.09634461514379389,value_PHF8,-0.09160553872865679,value_YAP1,-0.09661932609998009,value_ZFP3,-0.04752092957701439,value_EBF3,-0.05146319961433244,value_MEF2C,-0.07280685681492752,value_PHF8,-0.09049172254696941
176,value_H4K20me3,0.04660714327325261,value_CRTC1,-0.09754000799480787,value_FOSL2,-0.09647000980167572,value_FOSL2,-0.09692226982134944,value_BNC2,-0.04854711737776115,value_ZEB1,-0.05206493203291255,value_USF2,-0.0728454483575957,value_FOSL2,-0.09335810428697086
177,value_SMARCA4,0.04609787960070382,value_GTF3C2,-0.09893339731166607,value_GTF3C2,-0.09651695935375233,value_HDAC2,-0.10062323782317664,value_MAU2,-0.04996410648653957,value_RFX5,-0.05226051163805081,value_CHD7,-0.0741517257372194,value_H3K9me3,-0.09350587782133311
178,value_H3S10ph,0.04365402902852342,value_PHF8,-0.10000824222676775,value_EBF3,-0.09958150327663073,value_SMAD3,-0.10206218217441837,value_H2AK119ub,-0.05145198445020581,value_H3.3,-0.05528401144355415,value_NFIC,-0.07533626867175351,value_H3K27me3,-0.09536341743280125
179,value_HDAC1,0.04107569598479429,value_TEAD4,-0.10052585887834752,value_FANCD2,-0.10022548182958145,value_FANCD2,-0.10634457184145647,value_CTBP2,-0.05159201022021926,value_PAX6,-0.05571989914107586,value_YAP1,-0.08296499210038637,value_GTF3C2,-0.09811431738432921
180,value_CHAT,0.03839091663630986,value_ARNTL,-0.10473978148444091,value_HDAC2,-0.10124352521500991,value_GTF3C2,-0.10643246240848242,value_ARNTL,-0.05367764396748206,value_MED1,-0.056182495489432216,value_ARNTL,-0.08399784846724333,value_SMAD3,-0.0991031948435397
181,value_SNAI2,0.03491999922017343,value_EBF3,-0.10672249709346182,value_SMAD3,-0.10129312664267694,value_EBF3,-0.11021476140949263,value_H3.3,-0.05392493220157287,value_ZNF143,-0.059112536604589004,value_CRTC1,-0.09061785755431793,value_TEAD4,-0.10198917648353302
182,value_CSDC2,0.034340109327746365,value_FANCD2,-0.10737000151804466,value_ARID1B,-0.10306322890217838,value_ZFX,-0.11385123657134376,value_CRTC1,-0.05407255129497888,value_THAP1,-0.05933561016456603,value_PHF8,-0.09203912337522711,value_FANCD2,-0.10392961061426527
183,value_SATB1,0.032035165962664744,value_SMAD3,-0.10857106831568453,value_ZFX,-0.1031845761853195,value_GTF3C5,-0.1147897546779165,value_ZEB1,-0.05458696921532343,value_GATA3,-0.059390691707623754,value_EBF3,-0.09303202850574473,value_Crotonyllysine,-0.10563269939812904
184,value_H3K79suc,0.02750410917830783,value_GTF3C5,-0.10993276241128602,value_FLI1,-0.10619916943120933,value_TEAD4,-0.11497275844303553,value_PAX6,-0.05603929821763392,value_HDAC2,-0.05965008705713003,value_TEAD4,-0.0936368029906916,value_HDAC2,-0.10643269504337942
185,value_H3K27M,0.027447469512651347,value_Crotonyllysine,-0.11288362642278553,value_TEAD4,-0.10832753721101335,value_ARNTL,-0.11542595222110445,value_CASZ1,-0.05713314590446752,value_YAP1,-0.060372357883452014,value_FOSL2,-0.09426025120834926,value_ARNTL,-0.10782199695586295
186,value_AFF1,0.026427078831676543,value_SMC1A,-0.11314993321702249,value_GTF3C5,-0.10987220487787698,value_CPSF3L,-0.11611212831866198,value_TFAP2A,-0.061756543864671117,value_CDYL,-0.06178952562231367,value_STAG1,-0.09941310929588819,value_GTF3C5,-0.10837116222621956
187,value_SOX2,0.02545289626667104,value_CPSF3L,-0.11519521149259777,value_H3K9me3,-0.1109461958867463,value_H3K27me3,-0.11691827979791888,value_CDYL,-0.06385536543207636,value_PITX3,-0.06307062366737609,value_HDAC2,-0.10299526215806132,value_EBF3,-0.10906030252526315
188,value_AFF4,0.022272522403785317,value_FLI1,-0.11649780790314679,value_CPSF3L,-0.11560870039885349,value_SMC1A,-0.1187956161734958,value_SMARCA4,-0.06521248196221294,value_FLI1,-0.06535554162140153,value_FANCD2,-0.10341526957005351,value_OLIG2,-0.10930013829338842
189,value_macroH2A1,0.021129137234100807,value_ZFX,-0.1259540565942199,value_H3K79me2,-0.11692456937552088,value_FLI1,-0.12071700019590711,value_MEF2C,-0.06619806245486341,value_GATA2,-0.06633269003834022,value_SMAD3,-0.10357351819948298,value_CPSF3L,-0.11167808595771135
190,value_H3K4me,0.01743284464382086,value_TCF12,-0.13284290639760019,value_SMC1A,-0.1187822216985018,value_H3K9me3,-0.12124097683943007,value_MED1,-0.06828723210895198,value_CIC,-0.0670173078758704,value_Crotonyllysine,-0.10962403923382391,value_SMC1A,-0.11310353562169863
191,value_SMC3,0.01363901503834086,value_H3K9me3,-0.13749379074859353,value_ARNTL,-0.12406576579381516,value_H3K14ac,-0.12174172894596386,value_HINFP,-0.06904969167515795,value_ASCL1,-0.06783220634171351,value_CPSF3L,-0.11119649671593516,value_ZFX,-0.1156131352496879
192,value_OSR1,0.011042127001593696,value_INTS10,-0.137911025252057,value_SIN3A,-0.12444914223864897,value_SIN3A,-0.12871158416463005,value_YAP1,-0.06917900793452593,value_USF2,-0.06784449119820486,value_FLI1,-0.11522778416273949,value_FLI1,-0.1158472203612164
193,value_ATRX,0.010233339534073255,value_JUND,-0.13916994528221713,value_INTS10,-0.13016975328912359,value_INTS10,-0.13236061220615747,value_PHF8,-0.06957205303173317,value_CHD7,-0.06840174423922363,value_ZFX,-0.11705837120045777,value_TCF12,-0.11764341616454607
194,value_HOXC9,0.009812574085924869,value_DYRK1A,-0.13997949386645622,value_JUND,-0.13398592267036602,value_ZBTB33,-0.14113783973376254,value_JUND,-0.07394594821874481,value_DYRK1A,-0.06982539184511508,value_INTS10,-0.11976281287479279,value_SIN3A,-0.1219468822667941
195,value_CHD4,0.004119499436282055,value_JUN,-0.1407809708271737,value_ZBTB33,-0.1367895559681142,value_ARID1B,-0.14118652804708837,value_EZH2,-0.07452465397701366,value_CRTC1,-0.07055791448271985,value_SIN3A,-0.12095723014268953,value_INTS10,-0.1278583868855774
196,value_POU3F2,0.0035316111233401307,value_ZBTB33,-0.1420855434216888,value_JUN,-0.13810286755135412,value_STAG2,-0.14238558326801068,value_FANCD2,-0.07784096825789187,value_USF1,-0.07405362699999027,value_STAG2,-0.1242217686199067,value_JUN,-0.12951548518018338
197,value_JMJD6,0.0027377429856787943,value_H3K27me3,-0.14371507665452699,value_H3K27me3,-0.14319025061843782,value_SMC3,-0.1466392549360005,value_Epitope_tags,-0.07865883724867055,value_TEAD4,-0.07761288255817408,value_ZEB1,-0.12999213762899417,value_ZEB1,-0.12990432915345113
198,value_H3K36me1,0.0,value_PBX3,-0.14420661941153556,value_STAG2,-0.14332887874295183,value_ZEB1,-0.14704313290763993,value_TFAP2B,-0.08288719598326655,value_GTF3C2,-0.08018784378018172,value_JUND,-0.13042718945864284,value_H3K79me2,-0.1300732279911165
199,value_TOP2A,0.0,value_STAG2,-0.14464321047574372,value_TCF12,-0.14385813507667508,value_TCF12,-0.15096343503930826,value_Crotonyllysine,-0.0852272984994432,value_GTF3C5,-0.08190296691532323,value_ZBTB33,-0.13187591911951294,value_ZBTB33,-0.132531196148326
200,value_LMO1,0.0,value_ZEB1,-0.1509644897516083,value_SMC3,-0.14536599303979106,value_REST,-0.15232337069816265,value_ZFX,-0.0930877888004952,value_FANCD2,-0.0868232107286062,value_REST,-0.13313639357949095,value_STAG2,-0.13499301242980383
201,value_LRIF1,0.0,value_SMC3,-0.15136225240798676,value_ZEB1,-0.14543001938043823,value_H3K79me2,-0.1532366511750988,value_SMC1A,-0.09704616095677948,value_BRCA1,-0.0871538932290764,value_BRCA1,-0.13429630801866194,value_JUND,-0.13953080914732188
202,value_MAML3,0.0,value_USF1,-0.1522413915697982,value_REST,-0.14914788037188983,value_JUND,-0.15530414582120702,value_H3K9me3,-0.09802315588166845,value_PHF8,-0.09219492713129969,value_ASCL1,-0.1346926464354833,value_SMC3,-0.1398684682594903
203,value_H4R3me2,0.0,value_H3K79me2,-0.15684376541634684,value_PBX3,-0.15382681655414815,value_JUN,-0.15541984217310442,value_REST,-0.10113438853782868,value_SIN3A,-0.10006827668464384,value_TCF12,-0.13655026546739368,value_H3K14ac,-0.14236168671134203
204,value_MYB,0.0,value_BRCA1,-0.16141666913128183,value_DYRK1A,-0.15424344178642285,value_PBX3,-0.15590359302763332,value_TCF12,-0.10132285927271648,value_Crotonyllysine,-0.10009459013953888,value_JUN,-0.13893308058820505,value_PBX3,-0.1442725513995788
205,value_KDM4C,0.0,value_ARID1B,-0.16210328105590688,value_BRCA1,-0.15556656127648388,value_DYRK1A,-0.1604586425633874,value_FLI1,-0.1055361103215156,value_ZFX,-0.10111815104451125,value_H3K27me3,-0.13903500461977092,value_REST,-0.14569828758858325
206,value_PARK7,0.0,value_CTCFL,-0.16336350926226745,value_OLIG2,-0.15956804788722592,value_CTCFL,-0.16522526575648427,value_PBX3,-0.10764287115517444,value_CPSF3L,-0.10375617339790318,value_PBX3,-0.14008198683842205,value_ARID1B,-0.15153359290714044
207,value_INSR,0.0,value_OLIG2,-0.16348507052906325,value_CTCFL,-0.16702723146122903,value_CIC,-0.16772984466913438,value_CPSF3L,-0.10858854340138979,value_JUND,-0.10544143376282782,value_H3K9me3,-0.1408432525894291,value_TFAP2B,-0.15218309181875533
208,value_POU6F1,0.0,value_H3K14ac,-0.16534601433943036,value_USF1,-0.1671498792642693,value_OLIG2,-0.17047717352548852,value_BRCA1,-0.11379232878839643,value_Epitope_tags,-0.11273368437158225,value_ARID1B,-0.14359689254609825,value_DYRK1A,-0.15312441266751028
209,value_STAG3,0.0,value_CHD2,-0.1829232071310437,value_CHD2,-0.17147540878796383,value_BRCA1,-0.17282776346594012,value_SIN3A,-0.11403755056142616,value_ZBTB33,-0.1147134119635327,value_USF1,-0.1492184546313806,value_CTCFL,-0.1580779154034213
210,value_ERG,0.0,value_RAD21,-0.18533841107775018,value_H4K16ac,-0.18001389832747103,value_CHD2,-0.1768345204951882,value_EP300,-0.1141647400337561,value_INTS10,-0.11649295725773473,value_DYRK1A,-0.1500335904517467,value_BRCA1,-0.1590960843751828
211,value_ZNF117,0.0,value_PDS5A,-0.1925598627022842,value_RAD21,-0.18254273360353962,value_USF1,-0.17686203650901836,value_ASCL1,-0.11803767728082558,value_H3K4me2,-0.11681804204232811,value_OLIG2,-0.1534521141196053,value_CHD2,-0.16516362735608292
212,value_CEBPD,0.0,value_E2F1,-0.19366937374213458,value_PDS5A,-0.18340443916074897,value_RAD21,-0.18084194348396374,value_ZBTB33,-0.1182853776063342,value_MYCN,-0.11888106442956625,value_H3K79me2,-0.15447846383144234,value_RAD21,-0.1658311641894478
213,value_RB1,0.0,value_STAG1,-0.20006921629869476,value_STAG1,-0.18629623313006546,value_PDS5A,-0.18290904448032874,value_SMC3,-0.12047056006476883,value_REST,-0.1224143241846331,value_TFAP2B,-0.16497856986120132,value_USF1,-0.16623019881621276
214,value_CDK9,0.0,value_TFAP2B,-0.20014371376262396,value_H4K8ac,-0.1863743350926161,value_STAG1,-0.19211500636961243,value_CTCFL,-0.122132283928081,value_E2F1,-0.12316747818098427,value_CHD2,-0.1659202740028782,value_PDS5A,-0.17637909753707406
215,value_EZH1,0.0,value_ASCL1,-0.21715595475308652,value_TFAP2B,-0.19027138897937057,value_E2F1,-0.19507543108946399,value_CTCF,-0.13224382482235053,value_BMI1,-0.1232898387425047,value_CIC,-0.17249221822554003,value_STAG1,-0.18429271007022818
216,value_RAD21,-0.0007248787483664625,value_NEUROD1,-0.21963402773430818,value_E2F1,-0.1918525375977942,value_TFAP2B,-0.20145889880530618,value_ARID1B,-0.13782704541315102,value_CHD2,-0.12830322274178976,value_H3K14ac,-0.17509681317855902,value_E2F1,-0.18696048253010328
217,value_ISL1,-0.0010094387405290542,value_Epitope_tags,-0.22226266742264564,value_H3K36me3,-0.19296973912633075,value_ASCL1,-0.20216517096181336,value_CHD2,-0.13817402389703665,value_DNase-Seq,-0.1294901903361475,value_PDS5A,-0.17624317634765457,value_H3K36me3,-0.20295532325425558
218,value_TEAD4,-0.001580591331677293,value_CTCF,-0.22346877640746177,value_MYC,-0.1957490359519534,value_NEUROD1,-0.21429052509694854,value_RAD21,-0.13876756347853705,value_PBX3,-0.13062502179788743,value_BMI1,-0.17737976212808465,value_NEUROD1,-0.20333196582994345
219,value_WAPL,-0.0032248921939283005,value_MYC,-0.2299350078001606,value_BRD2,-0.19737346880882242,value_CTCF,-0.21589271072343794,value_CIC,-0.1408184425408457,value_H3K9me3,-0.13318853811520937,value_E2F1,-0.18499558434047506,value_CTCF,-0.2048585602878403
220,value_GTF3C2,-0.0034255055989255608,value_H3K36me3,-0.23212971204526872,value_ASCL1,-0.20434251274248916,value_H4K8ac,-0.22254411705967453,value_STAG1,-0.1425700436918272,value_ARID1B,-0.13324385116296533,value_H3K36me3,-0.19341467285715927,value_Epitope_tags,-0.21213005513588848
221,value_HDGF2,-0.004226064981311172,value_CIC,-0.24891453619821813,value_NEUROD1,-0.2057124927673237,value_MYC,-0.22783431242473087,value_H3K122ac,-0.1495272978436989,value_MXI1,-0.14082910745751875,value_NEUROD1,-0.19971668523303976,value_MYC,-0.21224265659522903
222,value_MCM3,-0.005898545929302471,value_MXI1,-0.25335223174592436,value_CHD8,-0.20968209565790616,value_BRD2,-0.22814104399571955,value_H4K12ac,-0.15030250171392417,value_MYC,-0.14465688266371093,value_H3K4me2,-0.20745094406025444,value_BMI1,-0.21956075214757198
223,value_SMARCA2,-0.009293985345385575,value_BRD2,-0.2557600695845087,value_CTCF,-0.2163527578688092,value_H3K36me3,-0.23207231948090132,value_BMI1,-0.15043409825585174,value_NRF1,-0.14817618171718738,value_Epitope_tags,-0.20797501252505587,value_INTS13,-0.2342107889783773
224,value_TP53,-0.009293985345385575,value_INTS13,-0.26322860336134063,value_H4K5ac,-0.21921825529492486,value_Epitope_tags,-0.23997669301496344,value_MYC,-0.15342511221301894,value_H3K36me3,-0.14968146976655097,value_MYC,-0.21083278338858427,value_BRD2,-0.2357892108236106
225,value_LHX2,-0.009293985345385575,value_ELF1,-0.26682323641007377,value_CIC,-0.22161511792038385,value_INTS13,-0.2502582979182776,value_MXI1,-0.15645151202014274,value_H3K27me3,-0.15809852384385034,value_H4K8ac,-0.22575295676905965,value_MXI1,-0.23594963180891618
226,value_NPAT,-0.009293985345385577,value_H4K8ac,-0.2728403650742948,value_Epitope_tags,-0.23190897933513052,value_H3K4me2,-0.25509531007465147,value_PDS5A,-0.1634854340820533,value_H3K79me2,-0.16301473792598,value_ELF1,-0.22977238251547158,value_ELF1,-0.24329992921397253
227,value_POU5F1,-0.009293985345385577,value_YY1,-0.27521126396187473,value_MXI1,-0.2346988267295807,value_ELF1,-0.2566815153795488,value_INTS13,-0.16444271147739473,value_H3K14ac,-0.16432635666000459,value_MXI1,-0.23071190307689093,value_H4K8ac,-0.24514329793405332
228,value_DNAJC2,-0.009293985345385577,value_BRD4,-0.28010871820483907,value_H4K5K8ac,-0.2351277557564232,value_H4K16ac,-0.2612746092002889,value_H3K14ac,-0.16492127452329283,value_ELF1,-0.16490321623950502,value_BRD2,-0.23770708134033572,value_YY1,-0.24522453507349073
229,value_SVIL,-0.009293985345385577,value_H4K12ac,-0.2831300809671438,value_H3K122ac,-0.2373348965791716,value_MXI1,-0.2620591573328313,value_MYCN,-0.16962599642496115,value_GABPA,-0.17420501635359537,value_INTS13,-0.2394836838074212,value_H4K12ac,-0.2557890218586711
230,value_CENPA,-0.009293985345385577,value_BMI1,-0.2932035103387299,value_INTS13,-0.23904694585195155,value_CHD8,-0.26461947634009525,value_H3K79me2,-0.17421342649869864,value_YY1,-0.17546716502434823,value_YY1,-0.24433578775480908,value_H4K16ac,-0.2612298463942387
231,value_MGMT,-0.009293985345385577,value_CHD8,-0.29835572132903043,value_H3K4me2,-0.244625052211411,value_YY1,-0.2654560000696438,value_NEUROD1,-0.18553422947045461,value_MAX,-0.1877614106545257,value_MYCN,-0.2601128786704089,value_BRD4,-0.2614311379977001
232,value_Biotin,-0.009293985345385577,value_H4K16ac,-0.29873296067660715,value_YY1,-0.24500829152189704,value_H4K12ac,-0.2672399771871185,value_YY1,-0.1938635047322,value_NEUROD1,-0.18834748505011892,value_NRF1,-0.2617081889904897,value_H3K4me2,-0.2703363370441083
233,value_FOXP1,-0.009293985345385579,value_NRF1,-0.3136126041493074,value_H2A.Z,-0.24554799640051142,value_BRD4,-0.2722430114622755,value_ELF1,-0.19905294656812034,value_INTS13,-0.18929526346691672,value_GABPA,-0.2621629596206681,value_CHD8,-0.27306183525903976
234,value_H3K27me1,-0.010405067285748141,value_GABPA,-0.3146610003139101,value_ELF1,-0.24938488535120676,value_H3K122ac,-0.2837560299266325,value_MAX,-0.2008192605515804,value_BRD4,-0.20752691684523292,value_BRD4,-0.26738268167599877,value_GABPA,-0.27938962376458415
235,value_SOX3,-0.010464622217941795,value_WDR5,-0.31623514471970265,value_BRD4,-0.25473532436765717,value_H4K5ac,-0.2966171571118222,value_GABPA,-0.20886499774797704,value_EP300,-0.2159850159971327,value_CHD8,-0.269365448674092,value_NRF1,-0.28662122866686307
